ď»żSEP=	
Id de Tracker	Id de Vehículo	Placa	Descripción	Odómetro(km)	
A3T8	73	TSZ436	5002	"35.576"	
A431	115	TTM524	5586	"612.539"	
A42X	158	SMV773	5566	"639.222"	
A41W	168	TPU779	5047	"728.631"	
A386	181	SMV203	C410	"522.958"	
AC6R	184	EQT748	5575	"327.677"	
A3VE	192	STW618	5619	"575.095"	
A3N8	237	FVY446	5045	"553.000"	
AB5D	247	TSF499	8176	"245.698"	
ABLX	290	TPV897	5085	"198.513"	
A3TY	299	STW646	C430	"487.130"	
A41G	303	SMV776	8260	"417.545"	
A2LT	334	TSZ970	5569	"596.192"	
A3ZL	358	EQS256	5078	"779.934"	
A3ZM	401	EQS222	5583	"616.433"	
A3NU	405	WDX938	5561	"499.457"	
A3KA	447	SMV267	8188	"459.931"	
A41J	530	EQT587	8121	"535.384"	
A41B	568	TSZ528	5628	"613.200"	
A42D	593	TSY882	5550	"562.946"	
A3XD	595	TSZ079	5577	"540.248"	
A3VI	602	TSJ716	5509	"650.949"	
AC30	627	STW975	C406	"173.093"	
A405	635	TSK710	8160	"380.433"	
AC31	699	TSJ441	8258	"99.070"	
ABM9	791	FVY631	5631	"254.843"	
AC1Y	819	EQW564	5587	"281.592"	
A9AF	859	EQS018	5652	"319.314"	
A38B	862	STW604	C422	"475.336"	
A3LA	875	SMV867	C412	"473.023"	
A41V	894	WDX788	5560	"545.124"	
A3V0	900	SMV722	5019	"440.698"	
A3L5	967	FVY629	5679	"657.996"	
A3VK	991	TPO191	C425	"440.570"	
A3KY	1044	TTM336	5540	"592.375"	
A3X0	1079	SMV266	8152	"498.091"	
AB8I	1081	EQW007	5620	"322.795"	
A3SS	1178	TSK461	8143	"60.097"	
A383	1220	EQS379	5590	"470.145"	
A97Z	1226	WMR338	5657	"316.150"	
A3LF	1290	STW065	5095	"469.826"	
A3TA	1304	TSI569	5605	"705.026"	
A40C	1313	TTN256	5603	"546.275"	
ACB2	1330	TSG701	8263	"130.365"	
A3LN	1346	TSY783	C403	"479.271"	
A40F	1378	TPT813	8120	"385.559"	
ABMI	1413	FVY624	5625	"295.226"	
A3TU	1430	TSY883	5570	"604.386"	
A3TI	1447	TPS228	8138	"14.702"	
A3KI	1468	TPY863	8166	"486.059"	
A3VH	1513	TTM017	8165	"556.418"	
ABGX	1519	TSY939	5060	"202.147"	
A41K	1531	TSJ442	5580	"545.728"	
A9X1	1532	EQS645	5645	"269.395"	
A42Z	1553	STW419	5202	"505.478"	
A3X5	1592	TPT535	8171	"485.897"	
A434	1608	TSI564	5557	"836.543"	
A38F	1640	TSY990	5568	"566.777"	
A37Y	1703	TSK776	8170	"88.653"	
A3L6	1738	TSH475	5068	"392.248"	
AC1K	1740	EQT445	8137	"226.198"	
A38G	1743	TSZ509	C429	"420.710"	
A3TH	1778	TSG006	8101	"479.450"	
A38M	1808	STX013	5573	"576.546"	
A41U	1823	TSI565	5554	"781.230"	
A418	1839	EQS380	5602	"525.341"	
A3L1	1854	TPT256	8112	"605.078"	
ABL4	1863	EQT234	5528	"291.565"	
A97X	1876	WMR340	5659	"343.946"	
AC2C	1896	TSF387	5606	"630.553"	
A42Y	1902	TSK440	5207	"434.845"	
A432	2021	WDY387	5598	"400.505"	
ABGF	2039	TTN251	5038	"257.023"	
A3NN	2049	TSK129	5579	"691.479"	
A3T5	2071	STW645	C428	"443.416"	
ACAH	2095	SMU470	5549	"138.792"	
A3T7	2103	TTM597	5588	"547.287"	
A3L2	2121	TSF651	8199	"451.194"	
A3ZF	2133	TPV360	8159	"821.379"	
A3LM	2190	EQS126	8130	"337.946"	
A3U3	2193	TTM942	8136	"518.201"	
A42A	2217	EQR834	8131	"570.989"	
A40P	2222	EQT826	5500	"635.487"	
AC2G	2232	EQS002	5593	"225.214"	
A41T	2233	TPV090	5072	"584.988"	
AC1Q	2249	TSZ269	8261	"224.316"	
A42H	2255	STV576	5058	"485.931"	
A3KU	2290	EQW337	5543	"540.244"	
ACBH	2298	FWL221	C424	"213.431"	
A3SP	2337	TPS567	5231	"415.331"	
0190	2371	TSJ791	5514	"707.365"	
A3ZB	2397	EQS613	5582	"656.406"	
A3QD	2405	TSJ444	8257	"85.345"	
A38N	2420	WDY506	5042	"675.772"	
A380	2459	EQS350	5516	"573.050"	
A41I	2484	TSK210	5584	"599.363"	
A3VD	2503	TSY745	5556	"591.100"	
A38L	2505	TSH261	5086	"609.154"	
AC8W	2507	EQS412	5534	"239.388"	
A3U2	2536	SMT995	5529	"883.924"	
A3T9	2539	TPT297	8162	"476.758"	
A38J	2541	TSE731	5080	"371.074"	
A3Q9	2554	SMV721	5539	"612.828"	
AB8G	2559	EQW004	5618	"318.724"	
A407	2560	TSZ245	5502	"575.750"	
A3U0	2570	SMU530	8157	"455.188"	
A9WV	2583	EQS609	5662	"226.910"	
A3U7	2626	STV464	5076	"478.022"	
A3ZR	2654	EQS649	8186	"541.073"	
A9UH	2673	EQS608	5661	"262.293"	
A3KX	2698	TSH476	5001	"641.170"	
A3KW	2721	TPS689	5201	"413.309"	
A41M	2726	STW093	5510	"560.520"	
A41A	2733	EQT274	C427	"448.401"	
A3VS	2736	STX180	C416	"430.549"	
AB7Y	2741	EQW002	5612	"330.589"	
A41X	2759	SMV807	5515	"609.978"	
A436	2771	TSJ439	5597	"664.120"	
A3L0	2786	FVY697	5574	"514.042"	
AB7B	2797	EQW009	5624	"236.867"	
A3UM	2818	SMV435	8145	"522.007"	
A3LJ	2840	TSJ440	8256	"335.384"	
AB7W	2866	EQW008	5622	"312.626"	
A422	2870	TSI563	5555	"851.903"	
A41D	2872	TSG200	8179	"357.913"	
A38K	2888	EQW268	5572	"587.796"	
A3NP	2894	TSJ050	8161	"450.943"	
A3VG	2899	SMV275	5530	"540.018"	
A384	2903	TPT255	8109	"377.062"	
A9CD	2907	EQS013	5651	"367.170"	
A3KT	2927	TSZ875	5581	"638.083"	
A9WX	2945	EQS606	5660	"296.726"	
A40H	2950	SMV323	5023	"465.810"	
A3LU	3007	EQT825	5600	"505.276"	
A41Y	3045	TSI570	5552	"874.351"	
ABB7	3051	FVY633	5633	"259.326"	
A3ZA	3072	SMV810	8167	"443.729"	
A3XJ	3112	TSI929	8105	"308.450"	
A3MU	3151	WDZ196	5044	"620.255"	
A3MR	3162	SMT953	8174	"404.546"	
A9CB	3167	EQS020	5654	"425.997"	
ABEB	3173	SMU575	8127	"241.547"	
ABBI	3183	STW612	5609	"518.952"	
ABMB	3184	TSK118	5079	"159.231"	
A424	3196	TPS758	8198	"493.038"	
A9CC	3206	EQS000	5650	"401.381"	
A3VM	3207	FWK158	5203	"349.583"	
A3VT	3221	TPZ312	8262	"349.025"	
A3Z2	3271	TPU709	8110	"430.505"	
A42T	3292	TSZ968	5571	"566.036"	
A387	3298	TSG602	8194	"455.732"	
ABIE	3302	WDY390	5589	"217.620"	
A3LE	3306	TTN234	5553	"564.698"	
A3LH	3324	SMV876	5532	"481.301"	
A9WW	3333	EQS607	5649	"289.458"	
A9AG	3336	EQS019	5653	"194.311"	
A3TC	3362	TTM523	5585	"558.352"	
A3ZJ	3371	EQR918	5518	"570.118"	
A3KJ	3378	STX139	5639	"584.684"	
A3QG	3379	SMU051	5059	"606.049"	
A42F	3383	TSY988	5551	"547.619"	
A97W	3386	WMR336	5655	"272.244"	
A408	3390	TPW057	8123	"422.912"	
A3NE	3400	TSI723	5607	"925.416"	
A37V	3409	TSF510	8193	"513.089"	
A423	3424	TPU781	5084 	"429.795"	
A3LG	3425	TPT814	8100	"491.771"	
A3VV	3450	TSJ438	5040	"521.069"	
A3TS	3460	TSH933	5022	"425.484"	
A3XI	3465	SMU745	5083	"522.759"	
A3U8	3475	EQS361	5027	"643.514"	
A3X7	3477	EQT085	5511	"490.447"	
A42U	3478	TSJ628	5026	"520.601"	
A3ZI	3479	WDX688	8146	"484.313"	
A3LW	3493	SMT954	8185	"462.392"	
AC1P	3515	STW603	5564	"581.541"	
A385	3520	SMV567	8129	"495.247"	
A38I	3530	TPY223	5025	"448.983"	
A3Q7	3534	TSI566	5608	"841.849"	
A3NI	3573	TSI747	5542	"850.850"	
A38A	3578	EQS255	5066	"831.771"	
A3TV	3919	TSE116	C409	"475.937"	
A7ZT	14237	TSZ996	5508	"171.998"	
ACBV	14574	TPS695	5512	"134.259"	
ACC4	14618	TPT257	8124	"88.801"	
ACF9	15157	SMU226	5039	"153.413"	
ACFD	15161	TSH152	5230	"121.323"	
ACGK	15219	SMX591	C421	"595.889"	
ACGU	15233	TSY725	CB089	"616.412"	
AAWR	15596	STV441	5558	"119.612"	
A3KG	16453	TTM099	5029	"959.862"	
A3LC	16454	EQS125	8190	"332.584"	
A3TK	16462	SMT947	8103	"376.262"	
A3TT	16463	TSZ345	8126	"352.654"	
A3TZ	16465	TSE429	8151	"285.593"	
A3V3	16467	EQT566	8173	"407.289"	
A42M	16487	STV675	8267	"243.532"	
A3LL	16746	WMR339	5658	"264.666"	
A3LB	16777	TPZ458	8108	"363.246"	
A3VP	16781	TPT254	5033	"308.719"	
A3UN	16783	TSI599	5630	"292.308"	
A409	16784	TPT259	5099	"265.845"	
A3LD	16818	TPP935	8184	"371.260"	
A3L7	16916	TSH185	8265	"354.930"	
ACBI	17045	FVY659	5021	"229.299"	
A3UA	17141	TPR842	8119	"370.472"	
A3TX	17155	TSF553	8132	"395.283"	
ABIU	17286	TPT253	8102	"146.961"	
A3V1	17325	TPX456	C423	"496.238"	
A3TB	17357	TSI757	5524	"704.497"	
A381	17397	TPX721	8153	"472.120"	
A3KH	17459	TSI456	8264	"373.365"	
A3KD	17466	TPZ386	5052	"337.212"	
A3ME	17559	SMV546	5015	"478.334"	
A40A	17582	STU895	C408	"391.231"	
A3X2	17611	TSJ434	5035	"319.358"	
A40K	17618	TSE578	8125	"500.165"	
A3V8	17654	TSG755	C426	"500.059"	
A42K	17674	SMV719	5061	"553.788"	
A3QC	17737	TPX827	5680	"399.300"	
A3L8	17767	TPN425	C404	"417.504"	
A3L3	17787	TSJ371	5670	"374.830"	
ABLM	17812	SMV730	5049	"162.164"	
A37X	17823	STW439	5070	"466.380"	
A3K9	17843	TPU109	5065	"455.052"	
AD9B	18413	EQR908	5533	"134.932"	
ADAJ	18456	SMU225	5014	"159.546"	
ADAP	18461	SMU718	5057	"182.432"	
ADAT	18465	SMU772	8107	"121.237"	
ADAU	18466	STW065	8200	"130.727"	
ADRZ	19031	STV442	5090	"106.082"	
ADSK	19052	EQS545	5501	"84.213"	
ADT9	19076	STW627	5517	"556.240"	
ADUU	19131	TSI918	CB157	"142.495"	
ADVE	19151	STW602	CB059	"488.335"	
ADVK	19157	TSJ560	CB015	"697.423"	
ADVL	19158	EQR920	5538	"123.696"	
ADVR	19163	EQS021	CB100	"384.542"	
ADXU	19236	TPW934	8128	"46.908"	
ADXW	19238	TSI567	5567	"860.424"	
ADY1	19243	TSZ244	5504	"596.513"	
ADY2	19244	SMV491	5536	"112.817"	
ADY5	19247	TSI568	5541	"798.654"	
ADY7	19249	EQS756	5559	"165.114"	
ADYH	19259	TSG209	5030	"118.514"	
ADYJ	19261	TSI943	5094	"70.244"	
ADYS	19269	TSK979	5223	"131.412"	
ADYU	19271	WDY393	5505	"521.298"	
ADYW	19273	SMT713	5020	"699.476"	
ADZ5	19282	TPU784	8134	"67.433"	
ADZ6	19283	TSY862	C418	"127.450"	
ADZC	19289	SMU227	8178	"115.157"	
ADZI	19295	WDX932	5563	"526.696"	
ADZN	19300	WMR337	5656	"290.570"	
ADZS	19304	EQS610	5663	"203.643"	
ADZU	19306	SMV808	5596	"544.643"	
ADZX	19309	SMU224	5048	"145.057"	
ADZZ	19311	WDX789	5565	"598.739"	
AE00	19312	SMV809	5599	"627.515"	
AE02	19314	WDY383	5537	"403.366"	
AE03	19315	SMV720	5535	"599.090"	
AE15	19352	EQT160	5531	"145.101"	
AE1G	19363	SMT714	5503	"98.654"	
AE1I	19365	EQT161	5054	"154.113"	
AE1S	19374	SMV489	5547	"151.970"	
AE1T	19375	EQR905	5521	"161.580"	
AE1Z	19381	EQS442	5526	"140.441"	
AE4J	19471	TSY870	CB064	"157.852"	
AE8K	19612	TTM060	5544	"482.812"	
AE8Q	19617	EQT493	5591	"604.574"	
AE8V	19622	EQW013	5595	"205.637"	
AE9M	19649	EQT621	5594	"146.522"	
AE9T	19655	TSE433	8180	"96.795"	
AEAG	19678	EQT162	5056	"101.616"	
AEB2	19699	TPX058	8117	"326.509"	
A3ZK	19701	TSE103	C402	"444.506"	
AEC4	19737	STW642	5604	"653.493"	
AEGP	19898	EQW003	5616	"352.104"	
AEHE	19923	TSJ337	8266	"404.971"	
AEHF	19924	EQR912	5522	"701.689"	
AEHG	19925	STX023	C401	"80.627"	
AEHI	19927	STV618	5576	"127.095"	
AEHJ	19928	STV427	5578	"139.860"	
AEHK	19929	STX062	C407	"131.505"	
AEHL	19930	EQS198	C411	"85.184"	
AEHM	19931	TTM299	5545	"124.861"	
AEHP	19933	SMU287	5506	"108.900"	
AEJC	19991	TTM300	5548	"477.914"	
AEKE	20028	TSE042	5043	"601.631"	
AEL3	20052	TSE431	5640	"77.318"	
AEPH	20181	TSI900	CB232	"114.505"	
AEPP	20188	WDY296	5525	"111.173"	
AEPY	20200	SMV271	5008	"559.923"	
AEQ0	20202	SMU422	5087	"538.711"	
AERY	20281	EQS441	5527	"638.796"	
AEUR	20392	STV964	C414	"120.136"	
AEUT	20394	SMU043	5018	"626.839"	
AEUW	20397	TSY863	5507	"560.334"	
AEV9	20411	TSJ221	5216	"113.287"	
AEVC	20414	EQT789	5592	"650.108"	
AEVD	20415	SMU511	5218	"115.971"	
AEVE	20416	TSJ803	5062	"120.039"	
AEXH	20491	SMX588	C417	"114.613"	
AEZV	20575	SMU165	5221	"746.082"	
AEZX	20577	SMV446	5204	"129.079"	
AEZZ	20579	TTN341	5046	"144.434"	
AF3G	20701	SMU375	5024	"72.960"	
AF4H	20737	TSE430	8140	"37.955"	
AF5E	20769	TPU811	8195	"101.373"	
AF5N	20778	STW858	5012	"93.644"	
AF5W	20786	TSJ015	5082	"96.447"	
AF67	20797	EQR904	5519	"97.229"	
AF7H	20842	SMV606	5075	"68.641"	
AF7R	20851	SMV496	5081	"127.462"	
AF7V	20855	STX011	5051	"93.581"	
AF7Z	20859	SMU228	5220	"48.930"	
AF85	20865	TPZ552	8118	"70.645"	
AF86	20866	SMT955	5073	"117.020"	
AF87	20867	SMT838	5034	"83.527"	
AF88	20868	EQT457	5031	"104.736"	
AF8B	20871	TSY607	C420	"107.949"	
AF8D	20873	TSH046	5011	"72.869"	
AF8E	20874	STW900	5212	"117.550"	
AF8G	20876	TSG213	C405	"4140"	
AF8S	20887	TPW035	5610	"2926"	
AFAV	20961	EQR919	5523	"4909"	
AFFP	21131	TSK104	5067	"466.760"	
AFKQ	21307	TPV708	8189	"22.402"	
AFKV	21312	TPX507	8196	"45.859"	
AFLH	21334	TSE432	5601	"61.257"	
AFUB	21608	TSZ999	5254	"104.533"	
AFUL	21618	EQS618	5007	"116.156"	
AFZQ	21797	WMR331	5520	"90.449"	
AG0P	21831	WDZ475	C415	"51.507"	
AG0U	21836	TPT258	8114	"57.328"	
AGLZ	22576	EQR910	5546	"49.269"	
AGMG	22593	TSY744	5513	"33.559"